player_id,first_name,last_name,team,position,height,weight,pts,ast,reb,pie
1630173,Precious,Achiuwa,Knicks,Forward,6-8,243,7.6,1.3,6.6,0.095
203500,Steven,Adams,Rockets,Center,6-11,265,8.6,2.3,11.5,0.112
1628389,Bam,Adebayo,Heat,Center-Forward,6-9,255,19.3,3.9,10.4,0.152
1630534,Ochai,Agbaji,Raptors,Guard,6-5,215,5.8,1.1,2.8,0.046
1630583,Santi,Aldama,Grizzlies,Forward-Center,7-0,215,10.7,2.3,5.8,0.1
1629638,Nickeil,Alexander-Walker,Timberwolves,Guard,6-5,205,8.0,2.5,2.0,0.071
1628960,Grayson,Allen,Suns,Guard,6-4,198,13.5,3.0,3.9,0.087
1628386,Jarrett,Allen,Cavaliers,Center,6-9,243,16.5,2.7,10.5,0.149
1630631,Jose,Alvarado,Pelicans,Guard,6-0,179,7.1,2.1,2.3,0.081
203937,Kyle,Anderson,Warriors,Forward-Guard,6-9,230,6.4,4.2,3.5,0.097
203507,Giannis,Antetokounmpo,Bucks,Forward,6-11,243,30.4,6.5,11.5,0.197
203648,Thanasis,Antetokounmpo,Bucks,Forward,6-7,219,0.9,0.5,0.4,0.021
1630175,Cole,Anthony,Magic,Guard,6-2,185,11.6,2.9,3.8,0.109
1628384,OG,Anunoby,Knicks,Forward-Guard,6-7,240,14.7,2.1,4.2,0.081
1630166,Deni,Avdija,Trail Blazers,Forward,6-9,210,14.7,3.8,7.2,0.109
1629028,Deandre,Ayton,Trail Blazers,Center,7-0,247,16.7,1.6,11.1,0.141
1628962,Udoka,Azubuike,Suns,Center-Forward,6-11,270,2.2,0.2,2.0,0.062
1630641,Ibou,Badji,Trail Blazers,Center,7-0,240,1.5,0.6,2.3,0.033
1628963,Marvin,Bagley III,Wizards,Forward,6-10,235,11.7,1.1,6.2,0.122
1631116,Patrick,Baldwin Jr.,Wizards,Forward,6-9,220,4.4,0.8,3.2,0.072
1630163,LaMelo,Ball,Hornets,Guard,6-7,180,23.9,8.0,5.1,0.133
1628366,Lonzo,Ball,Bulls,Guard,6-6,190,13.0,5.1,5.4,0.097
1628964,Mo,Bamba,Clippers,Center,7-0,231,4.4,0.7,4.2,0.098
1631094,Paolo,Banchero,Magic,Forward,6-10,250,22.6,5.4,6.9,0.135
1630217,Desmond,Bane,Grizzlies,Guard,6-5,215,23.7,5.5,4.4,0.128
1630625,Dalano,Banton,Trail Blazers,Forward,6-8,204,10.3,2.4,3.3,0.1
203084,Harrison,Barnes,Spurs,Forward,6-8,225,12.2,1.2,3.0,0.073
1631466,Nate,Williams,Rockets,Guard,6-5,205,2.9,0.3,1.0,0.09
1630172,Patrick,Williams,Bulls,Forward,6-7,215,10.0,1.5,3.9,0.066
1631246,Vince,Williams Jr.,Grizzlies,Guard,6-4,205,10.0,3.4,5.6,0.096
1629627,Zion,Williamson,Pelicans,Forward,6-6,284,22.9,5.0,5.8,0.145
1629685,Dylan,Windler,Hawks,Guard-Forward,6-7,196,2.5,0.6,0.9,0.101
1630164,James,Wiseman,Pacers,Center,6-11,240,7.1,0.9,5.3,0.097
1626174,Christian,Wood,Lakers,Forward,6-8,214,6.9,1.0,5.1,0.101
1626153,Delon,Wright,Bucks,Guard,6-5,185,4.5,2.5,1.8,0.093
201152,Thaddeus,Young,Suns,Forward,6-8,225,4.2,1.7,3.1,0.091
1629027,Trae,Young,Hawks,Guard,6-1,164,25.7,10.8,2.8,0.131
203469,Cody,Zeller,Hawks,Forward-Center,6-11,240,1.8,0.9,2.6,0.075
1627826,Ivica,Zubac,Clippers,Center,7-0,240,11.7,1.4,9.2,0.125
